onset	duration	sample	value	trial_type	tot_img_number	img_category	category_name	block	sequence	img_in_sequence	soa
48.085	0.0999658534565242	48085	45	image	4553	456	00456_drink	7	1	1	n/a
48.285	0.09996265345034772	48285	1	image	1	1	00001_aardvark	7	1	2	0.19994979309558403
48.485	0.09996469999896362	48485	15	image	15222	1523	01523_triangle	7	1	3	0.19991072933044052
48.685	0.09996373793910607	48685	12	image	12138	1214	01214_scaffolding	7	1	4	0.1999477706667676
48.884	0.09997092241974315	48884	12	image	12827	1283	01283_silverware	7	1	5	0.19992852933501126
49.085	0.09997068278607912	49085	16	image	16127	1613	01613_whip	7	1	6	0.19993578618232277
49.284	0.09997840000141878	49284	20	image	2044	205	00205_cabbage	7	1	7	0.19992182933128788
49.485	0.09995760861056624	49485	13	image	13195	1320	01320_soccer_ball	7	1	8	0.19996004654240096
49.684	0.09997241551536717	49684	50	image	5000	500	00500_faucet	7	1	9	0.1999162379433983
49.885	0.09997310000107973	49885	12	image	12317	1232	01232_screwdriver	7	1	10	0.19993980169238057
50.084	0.09996694654546445	50084	10	image	10424	1043	01043_pincushion	7	1	11	0.19992249830829678
50.286	0.09996226897055749	50286	255	target	n/a	n/a	n/a	7	1	12	0.19995391721022315
50.484	0.0999697000006563	50484	89	image	8915	892	00892_missile	7	1	13	0.19993708448237157
50.684	0.09996961551587447	50684	30	image	3050	305	00305_cigarette_holder	7	1	14	0.1999182138206379
50.884	0.09996870000031777	50884	12	image	12603	1261	01261_shoe	7	1	15	0.19993818617876968
51.084	0.0999721155167208	51084	34	image	3436	344	00344_compass	7	1	16	0.19992831382114673
51.284	0.09997038448273088	51284	95	image	9555	956	00956_orangutan	7	1	17	0.19992560000173398
51.484	0.09997769999972661	51484	19	image	1957	196	00196_bunkbed	7	1	18	0.1999346999982663
51.684	0.09995211550995009	51684	31	image	3191	320	00320_clothespin	7	1	19	0.19996337066913838
51.883	0.09997933103295509	51883	11	image	11558	1156	01156_revolver	7	1	20	0.19990981381488382
54.366	0.09997433794342214	54366	12	image	12124	1213	01213_scaffold	7	2	1	0.0
54.567	0.09996113102897652	54567	14	image	1475	148	00148_bookmark	7	2	2	0.19996159309448558
54.766	0.09996971551299794	54766	13	image	13114	1312	01312_snow	7	2	3	0.1999340000002121
54.966	0.09997043103066972	54966	93	image	93	10	00010_airplane	7	2	4	0.19991471381581505
55.166	0.09997101551562082	55166	49	image	4936	494	00494_eyedropper	7	2	5	0.19994600169593468
55.366	0.09996661551485886	55366	25	image	2565	257	00257_celery	7	2	6	0.19992799830652075
55.566	0.09996397587747197	55566	92	image	9210	921	00921_mulch	7	2	7	0.19993910169432638
55.765	0.09996394654808682	55765	11	image	11946	1195	01195_salad	7	2	8	0.1999250983026286
55.966	0.09995741551392712	55966	39	image	3959	396	00396_crystal_ball	7	2	9	0.19994851721276063
56.165	0.09998305345288827	56165	98	image	9873	988	00988_paperclip	7	2	10	0.19991109830516507
56.366	0.09997709999879589	56366	76	image	7693	770	00770_kilt	7	2	11	0.19994670169398887
56.565	0.09997203103193897	56565	12	image	12444	1245	01245_sewing_machine	7	2	12	0.19992876727337716
56.766	0.09996061551282764	56766	51	image	5101	511	00511_filing_cabinet	7	2	13	0.19995750169982784
56.965	0.09998481551519944	56965	95	image	9542	955	00955_orange_rind	7	2	14	0.19990462933128583
57.166	0.09996381551536615	57166	34	image	3432	344	00344_compass	7	2	15	0.19995878617919516
57.365	0.09998004654698889	57365	41	image	4182	419	00419_detonator	7	2	16	0.1999135983060114
57.565	0.0999612999985402	57565	27	image	2714	272	00272_charger	7	2	17	0.19995210169508937
57.765	0.09996314654563321	57765	19	image	1900	190	00190_bull	7	2	18	0.19992258278944064
57.965	0.09997686897258973	57965	14	image	14847	1485	01485_toaster_oven	7	2	19	0.1999387327268778
58.165	0.0999631620652508	58165	10	image	10527	1053	01053_pita	7	2	20	0.19993136727134697
60.297	0.09997488448425429	60297	96	image	9657	966	00966_oyster	7	3	1	0.0
60.498	0.0999547999999777	60498	63	image	6322	633	00633_guinea_pig	7	3	2	0.1999636241234839
60.697	0.09997703102999367	60697	26	image	2668	267	00267_chalk	7	3	3	0.19991239830414997
60.898	0.09997818448391627	60898	83	image	8320	832	00832_locker	7	3	4	0.19994311721166014
61.097	0.09997741551705985	61097	47	image	4774	478	00478_eggbeater	7	3	5	0.1999174827869865
61.298	0.0999545465419942	61298	72	image	7204	721	00721_ice-cream_cone	7	3	6	0.1999624706695613
61.497	0.09997563103024731	61497	75	image	7523	753	00753_jug	7	3	7	0.19990674484870397
61.697	0.09995613103092182	61697	79	image	7911	792	00792_lasagna	7	3	8	0.19995748617657227
61.897	0.09995991551477346	61897	16	image	1680	168	00168_bracelet2	7	3	9	0.1999403000008897
62.097	0.09997970000040368	62097	13	image	13483	1349	01349_spool	7	3	10	0.19990861382029834
62.297	0.09996374654656393	62297	23	image	2335	234	00234_cantaloupe	7	3	11	0.19995008617843268
62.497	0.09997136897072778	62497	12	image	12137	1214	01214_scaffolding	7	3	12	0.19993483103098697
62.697	0.09996734654851025	62697	12	image	12163	1217	01217_scanner	7	3	13	0.19991556727472926
62.897	0.09998189999896567	62897	15	image	15606	1561	01561_valve	7	3	14	0.19994391721047577
63.096	0.09997126206508256	63096	24	image	244	25	00025_anteater	7	3	15	0.19993396727295476
63.297	0.09996621551181306	63297	78	image	7818	782	00782_lab_coat	7	3	16	0.199950701698981
63.497	0.09996018448509858	63497	11	image	1166	117	00117_birdcage	7	3	17	0.19993383102701046
63.696	0.09996731551655103	63696	28	image	2867	287	00287_chihuahua	7	3	18	0.1999196983051661
63.897	0.09996474654326448	63897	74	image	7492	750	00750_jewelry	7	3	19	0.19993825515484787
64.096	0.09996447757293936	64096	15	image	15688	1569	01569_vest	7	3	20	0.19992041381556191
66.345	0.09996056897580274	66345	84	image	8475	848	00848_magnifier	7	4	1	0.0
66.546	0.0999638086068444	66546	15	image	15329	1533	01533_truck	7	4	2	0.19994674654662958
66.745	0.09996801551460521	66745	98	image	9877	988	00988_paperclip	7	4	3	0.19992587588058086
